2025-05-19 02:22:26,238 [myid:] - INFO  [main:QuorumPeerConfig@136] - Reading configuration from: /home/jepsen/zookeeper-v3.4/conf/zoo.cfg
2025-05-19 02:22:26,249 [myid:] - INFO  [main:QuorumPeer$QuorumServer@184] - Resolved hostname: hp144.utah.cloudlab.us to address: hp144.utah.cloudlab.us/128.110.218.183
2025-05-19 02:22:26,250 [myid:] - INFO  [main:QuorumPeer$QuorumServer@184] - Resolved hostname: hp158.utah.cloudlab.us to address: hp158.utah.cloudlab.us/128.110.218.197
2025-05-19 02:22:26,251 [myid:] - INFO  [main:QuorumPeer$QuorumServer@184] - Resolved hostname: hp124.utah.cloudlab.us to address: hp124.utah.cloudlab.us/128.110.218.163
2025-05-19 02:22:26,251 [myid:] - INFO  [main:QuorumPeer$QuorumServer@184] - Resolved hostname: hp149.utah.cloudlab.us to address: hp149.utah.cloudlab.us/128.110.218.188
2025-05-19 02:22:26,252 [myid:] - INFO  [main:QuorumPeer$QuorumServer@184] - Resolved hostname: hp159.utah.cloudlab.us to address: hp159.utah.cloudlab.us/128.110.218.198
2025-05-19 02:22:26,252 [myid:] - INFO  [main:QuorumPeerConfig@398] - Defaulting to majority quorums
2025-05-19 02:22:26,256 [myid:0] - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2025-05-19 02:22:26,256 [myid:0] - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2025-05-19 02:22:26,256 [myid:0] - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2025-05-19 02:22:26,265 [myid:0] - INFO  [main:QuorumPeerMain@130] - Starting quorum peer
2025-05-19 02:22:26,270 [myid:0] - INFO  [main:ServerCnxnFactory@117] - Using org.apache.zookeeper.server.NIOServerCnxnFactory as server connection factory
2025-05-19 02:22:26,274 [myid:0] - INFO  [main:NIOServerCnxnFactory@89] - binding to port 0.0.0.0/0.0.0.0:2181
2025-05-19 02:22:26,281 [myid:0] - INFO  [main:QuorumPeer@1158] - tickTime set to 2000
2025-05-19 02:22:26,281 [myid:0] - INFO  [main:QuorumPeer@1204] - initLimit set to 10
2025-05-19 02:22:26,281 [myid:0] - INFO  [main:QuorumPeer@1178] - minSessionTimeout set to -1
2025-05-19 02:22:26,282 [myid:0] - INFO  [main:QuorumPeer@1189] - maxSessionTimeout set to -1
2025-05-19 02:22:26,288 [myid:0] - INFO  [main:QuorumPeer@1467] - QuorumPeer communication is not secured!
2025-05-19 02:22:26,288 [myid:0] - INFO  [main:QuorumPeer@1496] - quorum.cnxn.threads.size set to 20
2025-05-19 02:22:26,291 [myid:0] - INFO  [main:QuorumPeer@668] - currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2025-05-19 02:22:26,292 [myid:0] - INFO  [main:QuorumPeer@683] - acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2025-05-19 02:22:26,297 [myid:0] - INFO  [ListenerThread:QuorumCnxManager$Listener@736] - My election bind port: hp124.utah.cloudlab.us/128.110.218.163:3888
2025-05-19 02:22:26,308 [myid:0] - INFO  [QuorumPeer[myid=0]/0:0:0:0:0:0:0:0:2181:QuorumPeer@909] - LOOKING
2025-05-19 02:22:26,310 [myid:0] - INFO  [QuorumPeer[myid=0]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@813] - New election. My id =  0, proposed zxid=0x0
2025-05-19 02:22:26,312 [myid:0] - INFO  [WorkerReceiver[myid=0]:FastLeaderElection@595] - Notification: 1 (message format version), 0 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 0 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-19 02:22:26,314 [myid:0] - INFO  [WorkerSender[myid=0]:QuorumCnxManager@347] - Have smaller server identifier, so dropping the connection: (1, 0)
2025-05-19 02:22:26,314 [myid:0] - INFO  [hp124.utah.cloudlab.us/128.110.218.163:3888:QuorumCnxManager$Listener@743] - Received connection request /128.110.218.197:52364
2025-05-19 02:22:26,315 [myid:0] - INFO  [WorkerSender[myid=0]:QuorumCnxManager@347] - Have smaller server identifier, so dropping the connection: (2, 0)
2025-05-19 02:22:26,315 [myid:0] - INFO  [WorkerSender[myid=0]:QuorumCnxManager@347] - Have smaller server identifier, so dropping the connection: (3, 0)
2025-05-19 02:22:26,316 [myid:0] - INFO  [WorkerSender[myid=0]:QuorumCnxManager@347] - Have smaller server identifier, so dropping the connection: (4, 0)
2025-05-19 02:22:26,317 [myid:0] - INFO  [hp124.utah.cloudlab.us/128.110.218.163:3888:QuorumCnxManager$Listener@743] - Received connection request /128.110.218.183:59002
2025-05-19 02:22:26,318 [myid:0] - INFO  [WorkerReceiver[myid=0]:FastLeaderElection@595] - Notification: 1 (message format version), 4 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 1 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-19 02:22:26,319 [myid:0] - INFO  [hp124.utah.cloudlab.us/128.110.218.163:3888:QuorumCnxManager$Listener@743] - Received connection request /128.110.218.198:57246
2025-05-19 02:22:26,319 [myid:0] - INFO  [WorkerReceiver[myid=0]:FastLeaderElection@595] - Notification: 1 (message format version), 4 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-19 02:22:26,319 [myid:0] - INFO  [WorkerSender[myid=0]:QuorumCnxManager@347] - Have smaller server identifier, so dropping the connection: (3, 0)
2025-05-19 02:22:26,320 [myid:0] - INFO  [hp124.utah.cloudlab.us/128.110.218.163:3888:QuorumCnxManager$Listener@743] - Received connection request /128.110.218.188:57456
2025-05-19 02:22:26,319 [myid:0] - INFO  [WorkerReceiver[myid=0]:FastLeaderElection@595] - Notification: 1 (message format version), 4 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 0 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-19 02:22:26,320 [myid:0] - WARN  [SendWorker:3:QuorumCnxManager$SendWorker@946] - Exception when using channel: for id 3 my id = 0 error = java.net.SocketException: Broken pipe (Write failed)
2025-05-19 02:22:26,320 [myid:0] - INFO  [WorkerReceiver[myid=0]:FastLeaderElection@595] - Notification: 1 (message format version), 4 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-19 02:22:26,320 [myid:0] - INFO  [WorkerSender[myid=0]:QuorumCnxManager@347] - Have smaller server identifier, so dropping the connection: (4, 0)
