2025-05-24 16:00:38 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp144.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp144.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp144.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-24 16:00:38.477699 I | etcdmain: etcd Version: 3.1.5
2025-05-24 16:00:38.477754 I | etcdmain: Git SHA: 20490ca
2025-05-24 16:00:38.477766 I | etcdmain: Go Version: go1.7.5
2025-05-24 16:00:38.477772 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-24 16:00:38.477778 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-24 16:00:38.477849 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-24 16:00:38.477894 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-24 16:00:38.479714 I | pkg/netutil: resolving hp144.utah.cloudlab.us:2380 to 128.110.218.183:2380
2025-05-24 16:00:38.480263 I | pkg/netutil: resolving hp144.utah.cloudlab.us:2380 to 128.110.218.183:2380
2025-05-24 16:00:41.481901 I | etcdserver: name = hp144.utah.cloudlab.us
2025-05-24 16:00:41.481932 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-24 16:00:41.481945 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-24 16:00:41.481955 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-24 16:00:41.481965 I | etcdserver: heartbeat = 100ms
2025-05-24 16:00:41.481975 I | etcdserver: election = 1000ms
2025-05-24 16:00:41.481984 I | etcdserver: snapshot count = 10000
2025-05-24 16:00:41.482003 I | etcdserver: advertise client URLs = http://hp144.utah.cloudlab.us:2379
2025-05-24 16:00:41.482015 I | etcdserver: initial advertise peer URLs = http://hp144.utah.cloudlab.us:2380
2025-05-24 16:00:41.482046 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-24 16:00:41.483476 I | etcdserver: starting member fe700c0c32dc3b77 in cluster aac2752a141c3276
2025-05-24 16:00:41.483526 I | raft: fe700c0c32dc3b77 became follower at term 0
2025-05-24 16:00:41.483546 I | raft: newRaft fe700c0c32dc3b77 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-24 16:00:41.483557 I | raft: fe700c0c32dc3b77 became follower at term 1
2025-05-24 16:00:41.489753 I | rafthttp: starting peer 399dd9d2fe9451fe...
2025-05-24 16:00:41.489815 I | rafthttp: started HTTP pipelining with peer 399dd9d2fe9451fe
2025-05-24 16:00:41.491093 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:00:41.491816 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:00:41.494567 I | rafthttp: started peer 399dd9d2fe9451fe
2025-05-24 16:00:41.494620 I | rafthttp: added peer 399dd9d2fe9451fe
2025-05-24 16:00:41.494647 I | rafthttp: starting peer a1561573eb12db98...
2025-05-24 16:00:41.494657 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
2025-05-24 16:00:41.494689 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream Message reader)
2025-05-24 16:00:41.494872 I | rafthttp: started HTTP pipelining with peer a1561573eb12db98
2025-05-24 16:00:41.495211 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:00:41.495910 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:00:41.496189 I | rafthttp: started peer a1561573eb12db98
2025-05-24 16:00:41.496252 I | rafthttp: added peer a1561573eb12db98
2025-05-24 16:00:41.496265 I | rafthttp: started streaming with peer a1561573eb12db98 (stream Message reader)
2025-05-24 16:00:41.496345 I | rafthttp: starting peer c89e8ee7e52968ff...
2025-05-24 16:00:41.496384 I | rafthttp: started HTTP pipelining with peer c89e8ee7e52968ff
2025-05-24 16:00:41.496748 I | rafthttp: started streaming with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-24 16:00:41.497144 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-24 16:00:41.497843 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-24 16:00:41.498331 I | rafthttp: started peer c89e8ee7e52968ff
2025-05-24 16:00:41.498372 I | rafthttp: added peer c89e8ee7e52968ff
2025-05-24 16:00:41.498393 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream Message reader)
2025-05-24 16:00:41.498412 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream MsgApp v2 reader)
2025-05-24 16:00:41.498493 I | rafthttp: starting peer dfe51183133d9fcb...
2025-05-24 16:00:41.498563 I | rafthttp: started HTTP pipelining with peer dfe51183133d9fcb
2025-05-24 16:00:41.499213 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-24 16:00:41.499570 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-24 16:00:41.499867 I | rafthttp: started peer dfe51183133d9fcb
2025-05-24 16:00:41.499894 I | rafthttp: started streaming with peer dfe51183133d9fcb (stream MsgApp v2 reader)
2025-05-24 16:00:41.499932 I | rafthttp: started streaming with peer dfe51183133d9fcb (stream Message reader)
2025-05-24 16:00:41.500101 I | rafthttp: added peer dfe51183133d9fcb
2025-05-24 16:00:41.500148 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2025-05-24 16:00:41.500739 I | etcdserver/membership: added member 399dd9d2fe9451fe [http://hp158.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:00:41.500890 I | etcdserver/membership: added member a1561573eb12db98 [http://hp124.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:00:41.500981 I | etcdserver/membership: added member c89e8ee7e52968ff [http://hp149.utah.cloudlab.us:2380] to cluster aac2752a141c3276
