2025-05-24 16:03:10 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp158.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp158.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp158.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-24 16:03:10.184987 I | etcdmain: etcd Version: 3.1.5
2025-05-24 16:03:10.185046 I | etcdmain: Git SHA: 20490ca
2025-05-24 16:03:10.185052 I | etcdmain: Go Version: go1.7.5
2025-05-24 16:03:10.185057 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-24 16:03:10.185063 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-24 16:03:10.185119 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-24 16:03:10.185179 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-24 16:03:10.187036 I | pkg/netutil: resolving hp158.utah.cloudlab.us:2380 to 128.110.218.197:2380
2025-05-24 16:03:10.187746 I | pkg/netutil: resolving hp158.utah.cloudlab.us:2380 to 128.110.218.197:2380
2025-05-24 16:03:14.188926 I | etcdserver: name = hp158.utah.cloudlab.us
2025-05-24 16:03:14.188964 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-24 16:03:14.188978 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-24 16:03:14.188988 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-24 16:03:14.188998 I | etcdserver: heartbeat = 100ms
2025-05-24 16:03:14.189008 I | etcdserver: election = 1000ms
2025-05-24 16:03:14.189017 I | etcdserver: snapshot count = 10000
2025-05-24 16:03:14.189060 I | etcdserver: advertise client URLs = http://hp158.utah.cloudlab.us:2379
2025-05-24 16:03:14.189076 I | etcdserver: initial advertise peer URLs = http://hp158.utah.cloudlab.us:2380
2025-05-24 16:03:14.189114 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-24 16:03:14.190849 I | etcdserver: starting member 399dd9d2fe9451fe in cluster aac2752a141c3276
2025-05-24 16:03:14.190936 I | raft: 399dd9d2fe9451fe became follower at term 0
2025-05-24 16:03:14.190958 I | raft: newRaft 399dd9d2fe9451fe [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-24 16:03:14.190970 I | raft: 399dd9d2fe9451fe became follower at term 1
2025-05-24 16:03:14.197343 I | rafthttp: starting peer a1561573eb12db98...
2025-05-24 16:03:14.197416 I | rafthttp: started HTTP pipelining with peer a1561573eb12db98
2025-05-24 16:03:14.199809 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:03:14.200537 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:03:14.203027 I | rafthttp: started peer a1561573eb12db98
2025-05-24 16:03:14.203072 I | rafthttp: added peer a1561573eb12db98
2025-05-24 16:03:14.203086 I | rafthttp: started streaming with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-24 16:03:14.203169 I | rafthttp: starting peer c89e8ee7e52968ff...
2025-05-24 16:03:14.203209 I | rafthttp: started streaming with peer a1561573eb12db98 (stream Message reader)
2025-05-24 16:03:14.203307 I | rafthttp: started HTTP pipelining with peer c89e8ee7e52968ff
2025-05-24 16:03:14.204473 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-24 16:03:14.204576 I | rafthttp: started streaming with peer c89e8ee7e52968ff (writer)
2025-05-24 16:03:14.205162 I | rafthttp: started peer c89e8ee7e52968ff
2025-05-24 16:03:14.205247 I | rafthttp: added peer c89e8ee7e52968ff
2025-05-24 16:03:14.205269 I | rafthttp: starting peer dfe51183133d9fcb...
2025-05-24 16:03:14.205276 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream Message reader)
2025-05-24 16:03:14.205633 I | rafthttp: started streaming with peer c89e8ee7e52968ff (stream MsgApp v2 reader)
2025-05-24 16:03:14.205806 I | rafthttp: started HTTP pipelining with peer dfe51183133d9fcb
2025-05-24 16:03:14.205858 I | rafthttp: peer a1561573eb12db98 became active
2025-05-24 16:03:14.205987 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream Message reader)
2025-05-24 16:03:14.206008 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-24 16:03:14.208607 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-24 16:03:14.208877 I | rafthttp: started streaming with peer dfe51183133d9fcb (writer)
2025-05-24 16:03:14.210519 I | rafthttp: started peer dfe51183133d9fcb
2025-05-24 16:03:14.210551 I | rafthttp: added peer dfe51183133d9fcb
