2025-05-24 16:03:10 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp149.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp149.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp149.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-24 16:03:10.182875 I | etcdmain: etcd Version: 3.1.5
2025-05-24 16:03:10.182931 I | etcdmain: Git SHA: 20490ca
2025-05-24 16:03:10.182938 I | etcdmain: Go Version: go1.7.5
2025-05-24 16:03:10.182943 I | etcdmain: Go OS/Arch: linux/amd64
2025-05-24 16:03:10.182948 I | etcdmain: setting maximum number of CPUs to 20, total number of available CPUs is 20
2025-05-24 16:03:10.183003 I | embed: listening for peers on http://0.0.0.0:2380
2025-05-24 16:03:10.183044 I | embed: listening for client requests on 0.0.0.0:2379
2025-05-24 16:03:10.184781 I | pkg/netutil: resolving hp149.utah.cloudlab.us:2380 to 128.110.218.188:2380
2025-05-24 16:03:10.185320 I | pkg/netutil: resolving hp149.utah.cloudlab.us:2380 to 128.110.218.188:2380
2025-05-24 16:03:14.186424 I | etcdserver: name = hp149.utah.cloudlab.us
2025-05-24 16:03:14.186455 I | etcdserver: data dir = /home/jepsen/etcd-v3.1/data
2025-05-24 16:03:14.186469 I | etcdserver: member dir = /home/jepsen/etcd-v3.1/data/member
2025-05-24 16:03:14.186478 I | etcdserver: dedicated WAL dir = /home/jepsen/etcd-v3.1/wal
2025-05-24 16:03:14.186488 I | etcdserver: heartbeat = 100ms
2025-05-24 16:03:14.186498 I | etcdserver: election = 1000ms
2025-05-24 16:03:14.186507 I | etcdserver: snapshot count = 10000
2025-05-24 16:03:14.186549 I | etcdserver: advertise client URLs = http://hp149.utah.cloudlab.us:2379
2025-05-24 16:03:14.186566 I | etcdserver: initial advertise peer URLs = http://hp149.utah.cloudlab.us:2380
2025-05-24 16:03:14.186607 I | etcdserver: initial cluster = hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380
2025-05-24 16:03:14.187959 I | etcdserver: starting member c89e8ee7e52968ff in cluster aac2752a141c3276
2025-05-24 16:03:14.188017 I | raft: c89e8ee7e52968ff became follower at term 0
2025-05-24 16:03:14.188037 I | raft: newRaft c89e8ee7e52968ff [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2025-05-24 16:03:14.188049 I | raft: c89e8ee7e52968ff became follower at term 1
2025-05-24 16:03:14.194599 I | rafthttp: starting peer 399dd9d2fe9451fe...
2025-05-24 16:03:14.194673 I | rafthttp: started HTTP pipelining with peer 399dd9d2fe9451fe
2025-05-24 16:03:14.196008 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:03:14.196629 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (writer)
2025-05-24 16:03:14.200586 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream MsgApp v2 reader)
2025-05-24 16:03:14.200687 I | rafthttp: started streaming with peer 399dd9d2fe9451fe (stream Message reader)
2025-05-24 16:03:14.200701 I | rafthttp: started peer 399dd9d2fe9451fe
2025-05-24 16:03:14.200768 I | rafthttp: added peer 399dd9d2fe9451fe
2025-05-24 16:03:14.200807 I | rafthttp: starting peer a1561573eb12db98...
2025-05-24 16:03:14.200839 I | rafthttp: started HTTP pipelining with peer a1561573eb12db98
2025-05-24 16:03:14.203101 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:03:14.203126 I | rafthttp: started streaming with peer a1561573eb12db98 (writer)
2025-05-24 16:03:14.203328 I | rafthttp: started peer a1561573eb12db98
2025-05-24 16:03:14.203403 I | rafthttp: added peer a1561573eb12db98
2025-05-24 16:03:14.203424 I | rafthttp: started streaming with peer a1561573eb12db98 (stream Message reader)
2025-05-24 16:03:14.203489 I | rafthttp: starting peer dfe51183133d9fcb...
2025-05-24 16:03:14.203525 I | rafthttp: started HTTP pipelining with peer dfe51183133d9fcb
2025-05-24 16:03:14.203582 I | rafthttp: started streaming with peer a1561573eb12db98 (stream MsgApp v2 reader)
