2025-05-24 21:18:11,384 [myid:] - INFO  [main:QuorumPeerConfig@136] - Reading configuration from: /home/jepsen/zookeeper-v3.4/conf/zoo.cfg
2025-05-24 21:18:11,395 [myid:] - INFO  [main:QuorumPeer$QuorumServer@184] - Resolved hostname: hp144.utah.cloudlab.us to address: hp144.utah.cloudlab.us/128.110.218.183
2025-05-24 21:18:11,396 [myid:] - INFO  [main:QuorumPeer$QuorumServer@184] - Resolved hostname: hp158.utah.cloudlab.us to address: hp158.utah.cloudlab.us/128.110.218.197
2025-05-24 21:18:11,397 [myid:] - INFO  [main:QuorumPeer$QuorumServer@184] - Resolved hostname: hp124.utah.cloudlab.us to address: hp124.utah.cloudlab.us/128.110.218.163
2025-05-24 21:18:11,398 [myid:] - INFO  [main:QuorumPeer$QuorumServer@184] - Resolved hostname: hp149.utah.cloudlab.us to address: hp149.utah.cloudlab.us/128.110.218.188
2025-05-24 21:18:11,399 [myid:] - INFO  [main:QuorumPeer$QuorumServer@184] - Resolved hostname: hp159.utah.cloudlab.us to address: hp159.utah.cloudlab.us/128.110.218.198
2025-05-24 21:18:11,399 [myid:] - INFO  [main:QuorumPeerConfig@398] - Defaulting to majority quorums
2025-05-24 21:18:11,403 [myid:2] - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2025-05-24 21:18:11,403 [myid:2] - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2025-05-24 21:18:11,403 [myid:2] - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2025-05-24 21:18:11,412 [myid:2] - INFO  [main:QuorumPeerMain@130] - Starting quorum peer
2025-05-24 21:18:11,417 [myid:2] - INFO  [main:ServerCnxnFactory@117] - Using org.apache.zookeeper.server.NIOServerCnxnFactory as server connection factory
2025-05-24 21:18:11,421 [myid:2] - INFO  [main:NIOServerCnxnFactory@89] - binding to port 0.0.0.0/0.0.0.0:2181
2025-05-24 21:18:11,428 [myid:2] - INFO  [main:QuorumPeer@1158] - tickTime set to 2000
2025-05-24 21:18:11,428 [myid:2] - INFO  [main:QuorumPeer@1204] - initLimit set to 10
2025-05-24 21:18:11,428 [myid:2] - INFO  [main:QuorumPeer@1178] - minSessionTimeout set to -1
2025-05-24 21:18:11,429 [myid:2] - INFO  [main:QuorumPeer@1189] - maxSessionTimeout set to -1
2025-05-24 21:18:11,435 [myid:2] - INFO  [main:QuorumPeer@1467] - QuorumPeer communication is not secured!
2025-05-24 21:18:11,435 [myid:2] - INFO  [main:QuorumPeer@1496] - quorum.cnxn.threads.size set to 20
2025-05-24 21:18:11,437 [myid:2] - INFO  [main:QuorumPeer@668] - currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2025-05-24 21:18:11,439 [myid:2] - INFO  [main:QuorumPeer@683] - acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2025-05-24 21:18:11,444 [myid:2] - INFO  [ListenerThread:QuorumCnxManager$Listener@736] - My election bind port: hp144.utah.cloudlab.us/128.110.218.183:3888
2025-05-24 21:18:11,445 [myid:2] - INFO  [hp144.utah.cloudlab.us/128.110.218.183:3888:QuorumCnxManager$Listener@743] - Received connection request /128.110.218.198:56498
2025-05-24 21:18:11,451 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@595] - Notification: 1 (message format version), 4 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-24 21:18:11,453 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:QuorumPeer@909] - LOOKING
2025-05-24 21:18:11,455 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@813] - New election. My id =  2, proposed zxid=0x0
2025-05-24 21:18:11,459 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@595] - Notification: 1 (message format version), 2 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-24 21:18:11,459 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@595] - Notification: 1 (message format version), 4 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 0 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-24 21:18:11,459 [myid:2] - INFO  [WorkerSender[myid=2]:QuorumCnxManager@347] - Have smaller server identifier, so dropping the connection: (4, 2)
2025-05-24 21:18:11,460 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@595] - Notification: 1 (message format version), 4 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 1 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-24 21:18:11,460 [myid:2] - INFO  [hp144.utah.cloudlab.us/128.110.218.183:3888:QuorumCnxManager$Listener@743] - Received connection request /128.110.218.188:56616
2025-05-24 21:18:11,460 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@595] - Notification: 1 (message format version), 4 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-24 21:18:11,460 [myid:2] - INFO  [WorkerSender[myid=2]:QuorumCnxManager@347] - Have smaller server identifier, so dropping the connection: (4, 2)
2025-05-24 21:18:11,461 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@595] - Notification: 1 (message format version), 4 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 4 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2025-05-24 21:18:11,461 [myid:2] - INFO  [hp144.utah.cloudlab.us/128.110.218.183:3888:QuorumCnxManager$Listener@743] - Received connection request /128.110.218.188:56618
2025-05-24 21:18:11,461 [myid:2] - WARN  [SendWorker:4:QuorumCnxManager$SendWorker@946] - Exception when using channel: for id 4 my id = 2 error = java.net.SocketException: Broken pipe (Write failed)
2025-05-24 21:18:11,461 [myid:2] - WARN  [RecvWorker:4:QuorumCnxManager$RecvWorker@1025] - Connection broken for id 4, my id = 2, error = 
java.io.EOFException
	at java.base/java.io.DataInputStream.readInt(DataInputStream.java:397)
	at org.apache.zookeeper.server.quorum.QuorumCnxManager$RecvWorker.run(QuorumCnxManager.java:1010)
